filename	sent_density	ttr_basic	ave_s_len	register
1+LY+....txt	3.0	397.0	315000.0	LY
1+OP+....txt	51.0	414.0	19750.0	OP
1+OP+....txt	35.0	254.0	28833.0	OP
1+IP+....txt	42.0	360.0	23641.0	IP
1+IP+....txt	35.0	437.0	28170.0	IP
1+IP+....txt	30.0	404.0	33842.0	IP
1+IN+....txt	32.0	494.0	31091.0	IN
1+LY+....txt	6.0	324.0	170000.0	LY
1+IN+....txt	51.0	203.0	19529.0	IN
1+IP+....txt	55.0	489.0	18027.0	IP
1+IP+....txt	34.0	638.0	29375.0	IP
1+NA+....txt	47.0	417.0	21202.0	NA
1+LY+....txt	27.0	391.0	37100.0	LY
1+NA+....txt	35.0	475.0	28706.0	NA
1+NA+....txt	33.0	394.0	29885.0	NA
1+IN+....txt	23.0	623.0	43000.0	IN
1+OP+....txt	29.0	481.0	33944.0	OP
1+IN+....txt	37.0	248.0	26806.0	IN
1+IN+....txt	48.0	557.0	20909.0	IN
1+SP+....txt	58.0	397.0	17296.0	SP
1+NA+....txt	38.0	470.0	26024.0	NA
1+IP+....txt	60.0	464.0	16719.0	IP
1+IP+....txt	32.0	599.0	31000.0	IP
1+IP+....txt	52.0	393.0	19304.0	IP
1+IN+....txt	41.0	398.0	24584.0	IN
1+IN+....txt	62.0	242.0	16082.0	IN
1+LY+....txt	3.0	356.0	365000.0	LY
1+LY+....txt	62.0	466.0	16222.000000000002	LY
1+IP+....txt	47.0	444.0	21348.0	IP
1+OP+....txt	58.0	161.0	17153.0	OP
1+IN+....txt	41.0	517.0	24167.0	IN
1+LY+....txt	7.0	484.0	152000.0	LY
1+IP+....txt	69.0	602.0	14458.0	IP
1+OP+....txt	59.0	117.0	17082.0	OP
1+IP+....txt	27.0	483.0	36750.0	IP
1+LY+....txt	28.0	323.0	35632.0	LY
1+SP+....txt	57.0	279.0	17439.0	SP
1+SP+....txt	51.0	419.0	19648.0	SP
1+LY+....txt	63.0	458.0	15778.0	LY
1+NA+....txt	52.0	424.0	19288.0	NA
1+NA+....txt	43.0	399.0	23277.0	NA
1+OP+....txt	47.0	378.0	21208.0	OP
1+LY+....txt	36.0	288.0	27769.0	LY
1+IP+....txt	43.0	360.0	23146.0	IP
1+SP+....txt	41.0	265.0	24373.0	SP
1+NA+....txt	50.0	493.0	20000.0	NA
1+NA+....txt	39.0	528.0	25850.0	NA
1+OP+....txt	59.0	355.0	16988.0	OP
1+LY+....txt	37.0	516.0	27143.0	LY
1+LY+....txt	10.0	276.0	102500.0	LY
1+NA+....txt	40.0	401.0	24750.0	NA
1+NA+....txt	47.0	492.0	21111.0	NA
1+LY+....txt	72.0	437.0	13795.0	LY
1+NA+....txt	61.0	571.0	16423.0	NA
1+LY+....txt	31.0	345.0	32235.0	LY
1+IN+....txt	35.0	250.0	28611.0	IN
1+OP+....txt	32.0	652.0	31600.0	OP
1+IP+....txt	46.0	694.0	21600.0	IP
1+NA+....txt	35.0	496.0	28650.0	NA
1+IN+....txt	41.0	249.0	24115.0	IN
1+LY+....txt	5.0	469.0	207000.0	LY
1+IN+....txt	43.0	586.0	23200.0	IN
1+OP+....txt	51.0	103.0	19440.0	OP
1+IN+....txt	39.0	415.0	25711.0	IN
1+NA+....txt	48.0	510.0	21000.0	NA
1+OP+....txt	57.0	511.0	17621.0	OP
1+NA+....txt	32.0	579.0	30846.0	NA
1+IN+....txt	44.0	663.0	22625.0	IN
1+IP+....txt	39.0	653.0	25692.0	IP
1+IP+....txt	36.0	460.0	28000.0	IP
1+NA+....txt	33.0	535.0	30100.0	NA
1+OP+....txt	44.0	343.0	22977.0	OP
1+SP+....txt	67.0	378.0	14845.0	SP
1+NA+....txt	36.0	447.0	27865.0	NA
1+NA+....txt	60.0	527.0	16576.0	NA
1+OP+....txt	48.0	535.0	20650.0	OP
1+SP+....txt	64.0	353.0	15654.0	SP
1+OP+....txt	45.0	362.0	22441.0	OP
1+SP+....txt	43.0	506.0	23316.0	SP
1+LY+....txt	4.0	461.0	269000.0	LY
1+IP+....txt	45.0	100.0	22320.0	IP
1+OP+....txt	69.0	364.0	14418.0	OP
1+IP+....txt	28.0	506.0	35273.0	IP
1+SP+....txt	44.0	356.0	22909.0	SP
1+OP+....txt	39.0	458.0	25658.0	OP
1+LY+....txt	20.0	357.0	49222.0	LY
1+OP+....txt	43.0	485.0	23054.0	OP
1+LY+....txt	10.0	336.0	101250.0	LY
1+OP+....txt	33.0	509.0	30333.0	OP
1+SP+....txt	64.0	234.0	15665.0	SP
1+IN+....txt	46.0	409.0	21726.0	IN
1+SP+....txt	50.0	358.0	20053.0	SP
1+SP+....txt	84.0	294.0	11961.0	SP
1+LY+....txt	1.0	487.0	830000.0	LY
1+LY+....txt	8.0	359.0	118000.0	LY
1+SP+....txt	54.0	334.0	18540.0	SP
1+IP+....txt	36.0	393.0	27420.0	IP
1+IP+....txt	48.0	147.0	20750.0	IP
1+LY+....txt	2.0	317.0	508500.0	LY
1+SP+....txt	41.0	462.0	24593.0	SP
1+IP+....txt	31.0	578.0	32700.000000000004	IP
1+IN+....txt	37.0	312.0	26722.0	IN
1+OP+....txt	55.0	331.0	18165.0	OP
1+OP+....txt	42.0	588.0	23636.0	OP
1+OP+....txt	30.0	402.0	33773.0	OP
1+IP+....txt	60.0	322.0	16727.0	IP
1+NA+....txt	43.0	411.0	23060.0	NA
1+NA+....txt	33.0	523.0	30600.0	NA
1+IN+....txt	46.0	361.0	21557.0	IN
1+NA+....txt	33.0	453.0	29929.0	NA
1+IP+....txt	33.0	414.0	30733.0	IP
1+SP+....txt	54.0	268.0	18635.0	SP
1+SP+....txt	61.0	289.0	16514.0	SP
1+LY+....txt	41.0	705.0	24125.0	LY
1+OP+....txt	30.0	585.0	33750.0	OP
1+IP+....txt	53.0	320.0	18780.0	IP
1+IP+....txt	33.0	387.0	30597.0	IP
1+SP+....txt	45.0	242.0	22403.0	SP
1+IN+....txt	42.0	451.0	23579.0	IN
1+SP+....txt	51.0	267.0	19507.0	SP
1+NA+....txt	48.0	382.0	21000.0	NA
1+OP+....txt	40.0	518.0	25214.0	OP
1+IP+....txt	45.0	636.0	22455.0	IP
1+SP+....txt	74.0	470.0	13500.0	SP
1+IN+....txt	46.0	340.0	21505.0	IN
1+IN+....txt	35.0	258.0	28240.0	IN
1+LY+....txt	13.0	458.0	77000.0	LY
1+OP+....txt	32.0	570.0	31214.0	OP
1+LY+....txt	4.0	110.0	264018.0	LY
1+IN+....txt	45.0	447.0	22088.0	IN
1+NA+....txt	42.0	502.0	23706.0	NA
1+OP+....txt	41.0	422.0	24148.0	OP
1+IN+....txt	47.0	250.0	21392.0	IN
1+IN+....txt	41.0	595.0	24500.0	IN
1+NA+....txt	37.0	756.0	26667.0	NA
1+IN+....txt	52.0	229.0	19349.0	IN
1+IN+....txt	43.0	334.0	23106.0	IN
1+SP+....txt	52.0	421.0	19273.0	SP
1+IN+....txt	41.0	281.0	24558.0	IN
1+SP+....txt	48.0	305.0	20907.0	SP
1+OP+....txt	36.0	369.0	28151.0	OP
1+IN+....txt	44.0	310.0	22477.0	IN
1+NA+....txt	37.0	643.0	27000.0	NA
1+SP+....txt	46.0	431.0	21702.0	SP
1+OP+....txt	52.0	464.0	19182.0	OP
1+NA+....txt	40.0	399.0	24793.0	NA
1+LY+....txt	4.0	405.0	227000.0	LY
1+SP+....txt	39.0	389.0	25424.0	SP
1+NA+....txt	50.0	429.0	20053.0	NA
1+LY+....txt	34.0	555.0	29200.0	LY
1+IP+....txt	61.0	446.0	16358.0	IP
1+LY+....txt	6.0	457.0	168500.0	LY
1+LY+....txt	6.0	330.0	172500.0	LY
1+IP+....txt	48.0	658.0	20778.0	IP
1+LY+....txt	43.0	417.0	23500.0	LY
1+NA+....txt	35.0	323.0	28575.0	NA
1+IP+....txt	40.0	427.0	24895.0	IP
1+NA+....txt	51.0	485.0	19677.0	NA
1+SP+....txt	70.0	431.0	14312.0	SP
1+IP+....txt	37.0	493.0	27214.0	IP
1+LY+....txt	17.0	400.0	60000.0	LY
1+NA+....txt	35.0	407.0	28812.0	NA
1+OP+....txt	42.0	244.0	23776.0	OP
1+SP+....txt	58.0	425.0	17100.0	SP
1+IN+....txt	64.0	554.0	15607.0	IN
1+IN+....txt	47.0	416.0	21129.0	IN
1+NA+....txt	36.0	463.0	28053.0	NA
1+SP+....txt	48.0	538.0	21000.0	SP
1+OP+....txt	36.0	561.0	27667.0	OP
1+OP+....txt	47.0	469.0	21269.0	OP
1+LY+....txt	57.0	347.0	17690.0	LY
1+OP+....txt	39.0	609.0	25889.0	OP
1+IP+....txt	42.0	328.0	24000.0	IP
1+IN+....txt	42.0	307.0	24004.0	IN
1+IN+....txt	40.0	366.0	24792.0	IN
1+OP+....txt	43.0	434.0	23207.0	OP
1+OP+....txt	49.0	477.0	20551.0	OP
1+NA+....txt	38.0	407.0	26429.0	NA
1+IN+....txt	43.0	359.0	23195.0	IN
1+IP+....txt	42.0	440.0	23694.0	IP
1+NA+....txt	54.0	611.0	18357.0	NA
1+IP+....txt	47.0	318.0	21404.0	IP
1+SP+....txt	54.0	477.0	18500.0	SP
1+SP+....txt	60.0	351.0	16733.0	SP
1+LY+....txt	7.0	276.0	134000.0	LY
1+IP+....txt	43.0	423.0	23345.0	IP
1+IP+....txt	51.0	395.0	19627.0	IP
1+LY+....txt	4.0	351.0	245000.0	LY
1+IN+....txt	36.0	417.0	27780.0	IN
1+SP+....txt	47.0	181.0	21274.0	SP
1+LY+....txt	30.0	322.0	33852.0	LY
1+SP+....txt	51.0	549.0	19615.0	SP
1+IN+....txt	42.0	231.0	23697.0	IN
1+NA+....txt	31.0	408.0	32310.000000000004	NA
1+IP+....txt	64.0	404.0	15525.0	IP
1+OP+....txt	44.0	572.0	22632.0	OP
1+SP+....txt	57.0	387.0	17411.0	SP
1+NA+....txt	37.0	462.0	27308.0	NA
1+LY+....txt	15.0	344.0	66333.0	LY
1+IN+....txt	44.0	285.0	22661.0	IN
1+LY+....txt	22.0	394.0	45200.0	LY
1+OP+....txt	83.0	407.0	12104.0	OP
1+IN+....txt	36.0	209.0	27844.0	IN
1+SP+....txt	42.0	389.0	23860.0	SP
1+LY+....txt	49.0	326.0	20611.0	LY
1+IP+....txt	35.0	538.0	28909.0	IP
1+IP+....txt	43.0	507.0	23074.0	IP
1+IP+....txt	46.0	403.0	21865.0	IP
1+SP+....txt	57.0	339.0	17621.0	SP
1+NA+....txt	25.0	630.0	40000.0	NA
1+NA+....txt	39.0	532.0	25833.0	NA
1+OP+....txt	50.0	456.0	19984.0	OP
1+SP+....txt	49.0	433.0	20500.0	SP
1+IP+....txt	35.0	622.0	28300.0	IP
1+NA+....txt	38.0	494.0	26316.0	NA
1+IP+....txt	74.0	603.0	13600.0	IP
1+NA+....txt	33.0	354.0	30540.0	NA
1+NA+....txt	45.0	371.0	22077.0	NA
1+LY+....txt	26.0	429.0	38143.0	LY
1+IN+....txt	41.0	369.0	24568.0	IN
1+OP+....txt	54.0	295.0	18602.0	OP
1+NA+....txt	34.0	479.0	29571.0	NA
1+IN+....txt	45.0	466.0	22045.0	IN
1+IN+....txt	37.0	336.0	26976.0	IN
1+OP+....txt	37.0	498.0	27250.0	OP
1+IN+....txt	50.0	451.0	19911.0	IN
1+OP+....txt	49.0	340.0	20285.0	OP
1+IP+....txt	45.0	313.0	21992.0	IP
1+OP+....txt	41.0	436.0	24484.0	OP
1+IN+....txt	40.0	292.0	24973.0	IN
1+NA+....txt	32.0	483.0	31188.0	NA
1+IN+....txt	41.0	615.0	24375.0	IN
1+LY+....txt	30.0	500.0	33667.0	LY
1+NA+....txt	36.0	440.0	28050.0	NA
1+NA+....txt	35.0	688.0	28200.0	NA
1+IN+....txt	50.0	542.0	20105.0	IN
1+NA+....txt	51.0	382.0	19662.0	NA
1+LY+....txt	10.0	476.0	105000.0	LY
1+NA+....txt	24.0	659.0	42200.0	NA
1+LY+....txt	71.0	489.0	14100.0	LY
1+OP+....txt	41.0	514.0	24474.0	OP
1+NA+....txt	56.0	459.0	17906.0	NA
1+OP+....txt	43.0	448.0	23327.0	OP
1+LY+....txt	18.0	397.0	56667.0	LY
1+IP+....txt	35.0	550.0	28467.0	IP
1+LY+....txt	19.0	322.0	53769.0	LY
1+IN+....txt	46.0	655.0	21750.0	IN
1+LY+....txt	45.0	352.0	22000.0	LY
1+NA+....txt	33.0	495.0	30091.0	NA
1+IP+....txt	30.0	463.0	32958.0	IP
1+LY+....txt	20.0	360.0	51143.0	LY
1+IP+....txt	31.0	418.0	32081.000000000004	IP
1+OP+....txt	46.0	361.0	21789.0	OP
1+IP+....txt	44.0	486.0	22611.0	IP
1+OP+....txt	55.0	359.0	18135.0	OP
1+LY+....txt	6.0	361.0	166000.0	LY
1+OP+....txt	56.0	182.0	17814.0	OP
1+LY+....txt	65.0	551.0	15333.0	LY
1+LY+....txt	98.0	543.0	10192.0	LY
1+OP+....txt	51.0	554.0	19682.0	OP
1+LY+....txt	9.0	345.0	108333.0	LY
1+NA+....txt	46.0	492.0	21525.0	NA
1+IN+....txt	39.0	401.0	25631.0	IN
1+SP+....txt	56.0	399.0	17750.0	SP
1+SP+....txt	67.0	373.0	14972.0	SP
1+IN+....txt	42.0	330.0	23657.0	IN
1+IN+....txt	40.0	226.0	24927.0	IN
1+IP+....txt	29.0	552.0	34429.0	IP
1+IN+....txt	37.0	205.0	27160.0	IN
1+OP+....txt	48.0	553.0	21050.0	OP
1+SP+....txt	49.0	273.0	20260.0	SP
1+IN+....txt	44.0	249.0	22694.0	IN
1+IP+....txt	37.0	565.0	26727.0	IP
1+OP+....txt	56.0	507.0	17947.0	OP
1+IP+....txt	44.0	541.0	22808.0	IP
1+SP+....txt	50.0	433.0	19942.0	SP
1+NA+....txt	33.0	523.0	30235.0	NA
1+OP+....txt	59.0	465.0	17050.0	OP
1+IN+....txt	40.0	223.0	24889.0	IN
1+LY+....txt	4.0	346.0	283000.0	LY
1+IN+....txt	43.0	418.0	23100.0	IN
1+SP+....txt	55.0	505.0	18280.0	SP
1+NA+....txt	43.0	385.0	23143.0	NA
1+IN+....txt	34.0	473.0	29789.0	IN
1+NA+....txt	53.0	359.0	18783.0	NA
1+IN+....txt	45.0	288.0	22349.0	IN
1+SP+....txt	59.0	314.0	16916.0	SP
1+IN+....txt	37.0	441.0	26794.0	IN
1+OP+....txt	55.0	494.0	18167.0	OP
1+IN+....txt	41.0	424.0	24391.0	IN
1+IP+....txt	46.0	299.0	21665.0	IP
1+IN+....txt	43.0	284.0	23083.0	IN
1+LY+....txt	6.0	443.0	174000.0	LY
1+LY+....txt	39.0	445.0	25333.0	LY
1+NA+....txt	48.0	532.0	20692.0	NA
1+LY+....txt	4.0	278.0	245000.0	LY
1+LY+....txt	41.0	348.0	24548.0	LY
1+OP+....txt	40.0	415.0	25058.0	OP
1+IP+....txt	39.0	425.0	25478.0	IP
1+LY+....txt	4.0	434.0	228000.0	LY
